날짜,발전기명,일일발전량(kWh)
2022-02-19,광양항광양냉장태양광,1577.931
2022-02-20,광양항광양냉장태양광,3418.608
2022-02-21,광양항광양냉장태양광,2946.626
2022-02-22,광양항광양냉장태양광,3106.687
2022-02-23,광양항광양냉장태양광,2890.702
2022-02-24,광양항광양냉장태양광,3363.648
2022-02-25,광양항광양냉장태양광,3183.822
2022-02-26,광양항광양냉장태양광,2936.987
2022-02-27,광양항광양냉장태양광,3300.011
2022-02-28,광양항광양냉장태양광,2228.29
2022-03-01,광양항광양냉장태양광,2411.973
2022-03-02,광양항광양냉장태양광,3686.658
2022-03-03,광양항광양냉장태양광,3390.647
2022-03-04,광양항광양냉장태양광,2384.493
2022-03-05,광양항광양냉장태양광,3674.124
2022-03-06,광양항광양냉장태양광,3778.742
2022-03-07,광양항광양냉장태양광,2792.353
2022-03-08,광양항광양냉장태양광,3397.397
2022-03-09,광양항광양냉장태양광,3392.575
2022-03-10,광양항광양냉장태양광,2847.315
2022-03-11,광양항광양냉장태양광,1376.412
2022-03-12,광양항광양냉장태양광,2977.483
2022-03-13,광양항광양냉장태양광,337.474
2022-03-14,광양항광양냉장태양광,338.437
2022-03-15,광양항광양냉장태양광,3537.688
2022-03-16,광양항광양냉장태양광,3568.06
2022-03-17,광양항광양냉장태양광,786.794
2022-03-18,광양항광양냉장태양광,1691.225
2022-03-19,광양항광양냉장태양광,2159.833
2022-03-20,광양항광양냉장태양광,2805.371
2022-03-21,광양항광양냉장태양광,2565.763
2022-03-22,광양항광양냉장태양광,3356.418
2022-03-23,광양항광양냉장태양광,2205.631
2022-03-24,광양항광양냉장태양광,3585.417
2022-03-25,광양항광양냉장태양광,1131.019
2022-03-26,광양항광양냉장태양광,2702.681
2022-03-27,광양항광양냉장태양광,3812.49
2022-03-28,광양항광양냉장태양광,3278.317
2022-03-29,광양항광양냉장태양광,4035.222
2022-03-30,광양항광양냉장태양광,2441.863
2022-03-31,광양항광양냉장태양광,2568.173
2022-04-01,광양항광양냉장태양광,3755.119
2022-04-02,광양항광양냉장태양광,4195.28
2022-04-03,광양항광양냉장태양광,4015.456
2022-04-04,광양항광양냉장태양광,4041.97
2022-04-05,광양항광양냉장태양광,3245.051
2022-04-06,광양항광양냉장태양광,3854.914
2022-04-07,광양항광양냉장태양광,3618.201
2022-04-08,광양항광양냉장태양광,4009.669
2022-04-09,광양항광양냉장태양광,3905.534
2022-04-10,광양항광양냉장태양광,3942.175
2022-04-11,광양항광양냉장태양광,1530.2
2022-04-12,광양항광양냉장태양광,3822.129
2022-04-13,광양항광양냉장태양광,941.551
2022-04-14,광양항광양냉장태양광,2418.724
2022-04-15,광양항광양냉장태양광,3865.522
2022-04-16,광양항광양냉장태양광,4088.734
2022-04-17,광양항광양냉장태양광,4289.29
2022-04-18,광양항광양냉장태양광,3125.971
2022-04-19,광양항광양냉장태양광,4038.595
2022-04-20,광양항광양냉장태양광,4105.125
2022-04-21,광양항광양냉장태양광,1286.258
2022-04-22,광양항광양냉장태양광,4114.768
2022-04-23,광양항광양냉장태양광,2404.741
2022-04-24,광양항광양냉장태양광,3996.169
2022-04-25,광양항광양냉장태양광,3021.835
2022-04-26,광양항광양냉장태양광,353.382
2022-04-27,광양항광양냉장태양광,3866.484
2022-04-28,광양항광양냉장태양광,3549.261
2022-04-29,광양항광양냉장태양광,1492.598
2022-04-30,광양항광양냉장태양광,2653.027
2022-05-01,광양항광양냉장태양광,4558.305
2022-05-02,광양항광양냉장태양광,3910.357
2022-05-03,광양항광양냉장태양광,4518.773
2022-05-04,광양항광양냉장태양광,4484.542
2022-05-05,광양항광양냉장태양광,4515.878
2022-05-06,광양항광양냉장태양광,4267.595
2022-05-07,광양항광양냉장태양광,4143.695
2022-05-08,광양항광양냉장태양광,3783.08
2022-05-09,광양항광양냉장태양광,3276.869
2022-05-10,광양항광양냉장태양광,3235.408
2022-05-11,광양항광양냉장태양광,2276.019
2022-05-12,광양항광양냉장태양광,2326.158
2022-05-13,광양항광양냉장태양광,555.866
2022-05-14,광양항광양냉장태양광,4134.053
2022-05-15,광양항광양냉장태양광,4305.2
2022-05-16,광양항광양냉장태양광,4434.406
2022-05-17,광양항광양냉장태양광,3920.48
2022-05-18,광양항광양냉장태양광,4164.426
2022-05-19,광양항광양냉장태양광,2709.431
2022-05-20,광양항광양냉장태양광,2362.796
2022-05-21,광양항광양냉장태양광,4177.442
2022-05-22,광양항광양냉장태양광,4122.963
2022-05-23,광양항광양냉장태양광,3490.925
2022-05-24,광양항광양냉장태양광,3871.789
2022-05-25,광양항광양냉장태양광,3880.947
2022-05-26,광양항광양냉장태양광,4117.18
2022-05-27,광양항광양냉장태양광,4317.734
2022-05-28,광양항광양냉장태양광,3245.052
2022-05-29,광양항광양냉장태양광,4068.967
2022-05-30,광양항광양냉장태양광,1918.296
2022-05-31,광양항광양냉장태양광,4376.07
2022-06-01,광양항광양냉장태양광,3981.707
2022-06-02,광양항광양냉장태양광,4244.936
2022-06-03,광양항광양냉장태양광,4016.902
2022-06-04,광양항광양냉장태양광,3465.373
2022-06-05,광양항광양냉장태양광,546.225
2022-06-06,광양항광양냉장태양광,3458.623
2022-06-07,광양항광양냉장태양광,1865.749
2022-06-08,광양항광양냉장태양광,2101.978
2022-06-09,광양항광양냉장태양광,3883.357
2022-06-10,광양항광양냉장태양광,3188.162
2022-06-11,광양항광양냉장태양광,3168.395
2022-06-12,광양항광양냉장태양광,3494.299
2022-06-13,광양항광양냉장태양광,1544.663
2022-06-14,광양항광양냉장태양광,1741.365
2022-06-15,광양항광양냉장태양광,3026.657
2022-06-16,광양항광양냉장태양광,3842.863
2022-06-17,광양항광양냉장태양광,3515.512
2022-06-18,광양항광양냉장태양광,4196.727
2022-06-19,광양항광양냉장태양광,4151.41
2022-06-20,광양항광양냉장태양광,3431.145
2022-06-21,광양항광양냉장태양광,3917.588
2022-06-22,광양항광양냉장태양광,4111.394
2022-06-23,광양항광양냉장태양광,1152.714
2022-06-24,광양항광양냉장태양광,2497.787
2022-06-25,광양항광양냉장태양광,2174.297
2022-06-26,광양항광양냉장태양광,1574.556
2022-06-27,광양항광양냉장태양광,1011.94
2022-06-28,광양항광양냉장태양광,1380.749
2022-06-29,광양항광양냉장태양광,1790.541
2022-06-30,광양항광양냉장태양광,3956.637
2021-06-01,광양항어울림태양광,3948.48
2021-06-02,광양항어울림태양광,3022.56
2021-06-03,광양항어울림태양광,621.12
2021-06-04,광양항어울림태양광,4096.8
2021-06-05,광양항어울림태양광,3744.48
2021-06-06,광양항어울림태양광,3991.2
2021-06-07,광양항어울림태양광,3737.76
2021-06-08,광양항어울림태양광,3949.92
2021-06-09,광양항어울림태양광,4138.08
2021-06-10,광양항어울림태양광,2010.24
2021-06-11,광양항어울림태양광,1635.36
2021-06-12,광양항어울림태양광,3426.24
2021-06-13,광양항어울림태양광,3822.72
2021-06-14,광양항어울림태양광,1623.36
2021-06-15,광양항어울림태양광,530.88
2021-06-16,광양항어울림태양광,2505.12
2021-06-17,광양항어울림태양광,2619.36
2021-06-18,광양항어울림태양광,1583.52
2021-06-19,광양항어울림태양광,4281.12
2021-06-20,광양항어울림태양광,3828.96
2021-06-21,광양항어울림태양광,3893.28
2021-06-22,광양항어울림태양광,3256.8
2021-06-23,광양항어울림태양광,2246.4
2021-06-24,광양항어울림태양광,3426.72
2021-06-25,광양항어울림태양광,3733.44
2021-06-26,광양항어울림태양광,3194.88
2021-06-27,광양항어울림태양광,3829.44
2021-06-28,광양항어울림태양광,2991.36
2021-06-29,광양항어울림태양광,3271.68
2021-06-30,광양항어울림태양광,3050.4
2021-07-01,광양항어울림태양광,3935.52
2021-07-02,광양항어울림태양광,3057.6
2021-07-03,광양항어울림태양광,372.48
2021-07-04,광양항어울림태양광,2642.88
2021-07-05,광양항어울림태양광,490.56
2021-07-06,광양항어울림태양광,230.4
2021-07-07,광양항어울림태양광,938.88
2021-07-08,광양항어울림태양광,1854.24
2021-07-09,광양항어울림태양광,2455.68
2021-07-10,광양항어울림태양광,2760.48
2021-07-11,광양항어울림태양광,2978.88
2021-07-12,광양항어울림태양광,3498.72
2021-07-13,광양항어울림태양광,3828
2021-07-14,광양항어울림태양광,3441.12
