,지역명,지역번호
79,임동,2331845
80,장덕동,1321869
81,주월동,1907006
82,중흥동,1321182
83,지산동,1907222
84,진월동,1321626
85,첨단1동,34304493
86,첨단2동,34304663
87,충장로1가,19070183
88,충장로2가,33540123
89,충장로3가,33540133
90,충장로4가,33540143
91,충장로5가,33540023
92,치평동,2331863
93,풍암동,2331862
94,풍향동,2331838
95,학동,1320928
96,호남동,3354008
97,화정동,1906998
98,황금동,3354010
99,효덕동,3430533
0,각산동,3353909
1,갈산동,1636439
2,감삼동,2332022
3,검단동,1320042
4,검사동,1316176
5,계산동2가,33538883
6,고산2동,34303913
7,고산3동,34303813
8,고성동3가,33539283
9,관문동,3430335
10,관음동,2332047
11,구라리,2046158
12,구암동,2332045
13,남구,2330385
14,남산동,2332108
15,내당동,2332089
16,노곡동,1318949
17,노변동,3353939
18,노원동1가,23320443
19,노원동2가,33539293
20,노원동3가,33539303
21,논공읍,2046248
22,달서구,2330382
23,달성군,2330383
24,대곡동,1319342
25,대구광역시,223347
26,대명동,2046075
27,대봉동,2046177
28,대신동,2332109
29,대천동,3353943
30,대현동,2332041
31,도원동,1316017
32,동구,223346
33,동산동,3353889
34,동인동3가,33538553
35,동인동4가,33538563
36,동천동,2332043
37,두류동,2332008
38,두산동,2332028
39,만촌1동,34303573
40,만촌동,1319431
41,매천동,1319505
42,매호동,3353936
43,무태조야동,3430333
44,방촌동,1318463
45,범어동,2332040
46,복현2동,23320513
47,복현동,2332052
48,본동,2332013
49,본리동,1637551
50,봉덕동,2332072
51,봉무동,1318095
52,북구,2330381
53,북리,2046250
54,북성로1가,33538993
55,불로.봉무동,3430336
56,불로동,3353904
57,비산동,2332086
58,산격동,2332056
59,삼덕동2가,33538573
60,삼덕동3가,33538583
61,상인동,1317679
62,서구,2330386
63,성당동,2332009
64,송현동,2332015
65,수성1가동,23320343
66,수성4가동,23320323
67,수성구,2330387
68,수성동2가,33539353
69,신암동,2332102
70,신천동,1807389
71,안심1동,34303563
72,안심3.4동,343035533
73,용산동,2332012
74,읍내동,2332048
75,이곡1동,34303643
76,이곡동,2332020
77,이천동,1636506
78,이현동,2332074
79,입석동,1320416
80,장기동,1321856
81,장동,3353941
82,죽전동,2332021
83,중구,2330384
84,중동,2332029
85,중리동,3353923
86,지산동,1321591
87,지저동,2332093
88,진천동,2332018
89,천내리,3353945
90,칠성동1가,23320603
91,칠성동2가,33539263
92,침산동,2332059
93,파동,1318584
94,팔달동,3353933
95,평리동,2332080
96,호산동,2046129
97,화원읍,2046178
98,황금동,2332031
99,효목동,1320548
0,가양동,2041991
1,가오동,2041901
2,가장동,2041848
3,갈마2동,20419943
4,갈마동,2041993
5,관저2동,23318123
6,관저동,2041658
7,관평동,2041813
8,괴정동,1315373
9,구성동,2042017
10,구암동,2041690
11,구즉동,3430263
12,궁동,2041694
13,내동,2041839
14,노은2동,23318103
15,노은3동,34298813
16,노은동,2041699
17,대덕구,2330388
18,대동,2041996
19,대사동,2041852
20,대전광역시,223352
21,대화동,2042043
22,대흥동,2041905
23,덕암동,2041809
24,도룡동,2041830
25,도마2동,20419993
26,도마동,2041998
27,동구,2330389
28,둔산2동,20420013
29,둔산동,2042000
30,만년동,2041831
31,목동,2041842
32,문창동,2042002
33,문평동,3354065
34,문화동,2042003
35,반석동,1617995
36,방현동,2041821
37,법1동,34302723
38,법2동,20420063
39,법동,2042005
40,변동,2041849
41,복수동,1617971
42,복용동,1315520
43,봉명동,2041686
44,봉산동,2041804
45,부사동,2041898
46,비래동,2041933
47,사정동,1317870
48,산성동,2041854
49,삼성동,2041843
50,상서동,2041815
51,서구,2330391
52,석교동,2041899
53,선화동,3354061
54,성남동,2041916
55,소제동,2041915
56,송강동,2041811
57,송촌동,2041927
58,신성동,2041700
59,신일동,2041806
60,신탄진동,223349
61,신흥동,2331814
62,어은동,2041828
63,오류동,2041846
64,오정동,2041835
65,온천1동,34302763
66,온천2동,34302743
67,외삼동,2041715
68,용두동,2042018
69,용문동,2041840
70,용운동,2041908
71,용전동,2041926
72,원내동,223350
73,원동,3354056
74,월평3동,20420213
75,월평동,223348
76,유성구,1315057
77,유천동,2042022
78,은행동,2041845
79,인동,2041906
80,자양동,2041907
81,장대동,2041693
82,장동,2041827
83,정동,2042013
84,죽동,2041701
85,중구,2330390
86,중동,3354058
87,중리동,2042042
88,중촌동,2041841
89,진잠동,3430284
90,천동,2041900
91,추목동,2041723
92,탄방동,2041837
93,탑립동,2041824
94,태평2동,20420253
95,태평동,2042024
96,판암동,2041904
97,평촌동,2041963
98,학하동,2041684
99,효동,2042045
0,가야동,1905325
1,감만동,222870
2,감전동,2332116
3,감천동,222859
4,강서구,222858
5,개금동,2332205
6,거제동,2332135
7,광안동,1319653
8,괘법동,1319678
9,괴정동,1905530
10,구서동,1637814
11,구평동,1905531
12,구포동,1319727
13,금정구,222849
14,기장군,222862
15,낙민동,2332199
16,남구,222883
17,남부민동,1905541
18,남산동,2332142
19,남천동,2332124
20,남항동1가,23322223
21,노포동,3353818
22,당감동,2332211
23,대연동,2332191
24,덕천동,2332173
25,동구,2330369
26,동대신1동,19055453
27,동래구,222878
28,만덕동,1637616
29,망미동,1905390
30,명륜동,2332192
31,명장동,1319156
32,명지2동,35581573
33,모라동,1905324
34,문현동,2332179
35,민락동,1319354
36,반여동,1673853
37,범일동,2332226
38,범전동,2332215
39,범천동,2332202
