,날짜,발전기명,일일발전량(kWh)
341,2022-05-08,광양항광양냉장태양광,3783.08
342,2022-05-09,광양항광양냉장태양광,3276.869
343,2022-05-10,광양항광양냉장태양광,3235.408
344,2022-05-11,광양항광양냉장태양광,2276.019
345,2022-05-12,광양항광양냉장태양광,2326.158
346,2022-05-13,광양항광양냉장태양광,555.866
347,2022-05-14,광양항광양냉장태양광,4134.053
348,2022-05-15,광양항광양냉장태양광,4305.2
349,2022-05-16,광양항광양냉장태양광,4434.406
350,2022-05-17,광양항광양냉장태양광,3920.48
351,2022-05-18,광양항광양냉장태양광,4164.426
352,2022-05-19,광양항광양냉장태양광,2709.431
353,2022-05-20,광양항광양냉장태양광,2362.796
354,2022-05-21,광양항광양냉장태양광,4177.442
355,2022-05-22,광양항광양냉장태양광,4122.963
356,2022-05-23,광양항광양냉장태양광,3490.925
357,2022-05-24,광양항광양냉장태양광,3871.789
358,2022-05-25,광양항광양냉장태양광,3880.947
359,2022-05-26,광양항광양냉장태양광,4117.18
360,2022-05-27,광양항광양냉장태양광,4317.734
361,2022-05-28,광양항광양냉장태양광,3245.052
362,2022-05-29,광양항광양냉장태양광,4068.967
363,2022-05-30,광양항광양냉장태양광,1918.296
364,2022-05-31,광양항광양냉장태양광,4376.07
365,2022-06-01,광양항광양냉장태양광,3981.707
366,2022-06-02,광양항광양냉장태양광,4244.936
367,2022-06-03,광양항광양냉장태양광,4016.902
368,2022-06-04,광양항광양냉장태양광,3465.373
369,2022-06-05,광양항광양냉장태양광,546.225
370,2022-06-06,광양항광양냉장태양광,3458.623
371,2022-06-07,광양항광양냉장태양광,1865.749
372,2022-06-08,광양항광양냉장태양광,2101.978
373,2022-06-09,광양항광양냉장태양광,3883.357
374,2022-06-10,광양항광양냉장태양광,3188.162
375,2022-06-11,광양항광양냉장태양광,3168.395
376,2022-06-12,광양항광양냉장태양광,3494.299
377,2022-06-13,광양항광양냉장태양광,1544.663
378,2022-06-14,광양항광양냉장태양광,1741.365
379,2022-06-15,광양항광양냉장태양광,3026.657
380,2022-06-16,광양항광양냉장태양광,3842.863
381,2022-06-17,광양항광양냉장태양광,3515.512
382,2022-06-18,광양항광양냉장태양광,4196.727
383,2022-06-19,광양항광양냉장태양광,4151.41
384,2022-06-20,광양항광양냉장태양광,3431.145
385,2022-06-21,광양항광양냉장태양광,3917.588
386,2022-06-22,광양항광양냉장태양광,4111.394
387,2022-06-23,광양항광양냉장태양광,1152.714
388,2022-06-24,광양항광양냉장태양광,2497.787
389,2022-06-25,광양항광양냉장태양광,2174.297
390,2022-06-26,광양항광양냉장태양광,1574.556
391,2022-06-27,광양항광양냉장태양광,1011.94
392,2022-06-28,광양항광양냉장태양광,1380.749
393,2022-06-29,광양항광양냉장태양광,1790.541
394,2022-06-30,광양항광양냉장태양광,3956.637
